765	179	9	16.52
3086	7589	3	33.77
2362	277	5	21.96
112	7924	4	6.77
1395	289	3	7.7
10378	112	4	10.69
501	203	6	6.94
1557	936	3	15.37
4425	137	4	9.18
1654	140	6	7.95
137	1182	7	7.17
2679	134	5	7.61
13835	118	3	8.54
112	611	26	8.79
7917	115	4	7.69
113	1005	17	6.82
111	215	105	21.64
289	2082	3	9.63
257	549	7	15.04
322	879	4	10.05
13544	279	3	24.3
3472	1625	3	23.92
921	336	3	6.64
1303	5179	3	25.22
1966	228	4	12.01
948	602	4	15.98
2032	210	3	7.32
135	4929	3	6.94
18242	108	3	9.36
7019	17	8	60.15
324	12	156	36.91
835	281	4	8.37
1634	1466	3	18.17
611	159	8	7.83
1731	85	8	33.79
1184	300	3	7.21
1098	128	16	23.16
4064	114	6	6.75
12	9318	6	7.01
21	8153	3	10.07
365	102	98	13.88
1579	2697	3	22.07
128	8397	3	7.03
12282	107	3	9.24
395	5645	3	18.47
1790	454	3	12.13
119	3151	15	45.19
202	295	9	7.01
234	2533	3	9.03
345	12	132	13.65
17253	105	3	7.92
13414	115	4	16.43
470	396	4	7.33
469	264	6	9.82
2202	1875	4	31.29
136	996	8	6.88
701	2	12	8.66
113	312	55	15.98
192	1220	6	14.52
795	287	5	12.24
321	572	7	19.78
5096	5741	3	34.88
18291	106	3	8.65
1409	2088	3	19.45
518	6625	3	22.16
15263	111	3	10.33
1798	330	3	10.28
303	104	94	20.29
112	14444	3	7.35
13	10108	3	13.66
57	8253	3	9.17
513	666	4	11.78
4528	262	3	13.84
2674	154	4	8.65
103	716	45	22.37
1200	426	3	9.11
105	436	59	11.29
218	2097	3	7.55
663	728	5	20.8
57	1822	7	10.14
628	911	3	10.04
103	339	72	7.91
102	223	178	15.65
1807	646	3	14.05
101	3631	14	9.81
276	841	4	8.03
130	3149	7	14.73
211	146	22	8.17
314	747	4	8.16
415	761	3	6.69
382	104	63	9.9
12	7590	8	9.35
142	8621	3	12.12
1371	849	3	14
6161	288	3	16.83
